storm_code,storm_name,shear_quad,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop
WPAC_11_18,Roke,DL,2,0,4.382026634673883,5.075173815233828,13,2,3.7013019741124937,4.45334067250063,11,1,3.781872444251658,4.805566406207139,68,2.94,0.0,19.12,2.94,16.18,1.47
WPAC_11_18,Roke,DR,0,0,4.382026634673883,5.075173815233828,0,0,3.7013019741124937,4.45334067250063,0,0,3.781872444251658,4.805566406207139,72,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_11_18,Roke,UL,0,0,4.382026634673883,5.075173815233828,1,0,3.7013019741124937,4.45334067250063,1,0,3.781872444251658,4.805566406207139,22,0.0,0.0,4.55,0.0,4.55,0.0
WPAC_11_18,Roke,UR,0,0,4.382026634673883,5.075173815233828,0,0,3.7013019741124937,4.45334067250063,0,0,3.781872444251658,4.805566406207139,7,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_16_16,Meranti,DL,3,0,6.002758553726741,6.983587806738466,6,0,5.565796731682298,6.682592842435845,8,0,5.180596740974786,6.590911955554795,128,2.34,0.0,4.69,0.0,6.25,0.0
WPAC_16_16,Meranti,DR,3,0,6.002758553726741,6.983587806738466,5,0,5.565796731682298,6.682592842435845,7,0,5.180596740974786,6.590911955554795,163,1.84,0.0,3.07,0.0,4.29,0.0
WPAC_16_16,Meranti,UL,2,0,6.002758553726741,6.983587806738466,4,0,5.565796731682298,6.682592842435845,5,0,5.180596740974786,6.590911955554795,82,2.44,0.0,4.88,0.0,6.1,0.0
WPAC_16_16,Meranti,UR,0,0,6.002758553726741,6.983587806738466,1,0,5.565796731682298,6.682592842435845,3,0,5.180596740974786,6.590911955554795,91,0.0,0.0,1.1,0.0,3.3,0.0
ATL_11_9,Irene,DL,0,0,6.386995137571283,7.34250658259872,0,0,5.665734407018671,6.679808530664813,2,0,5.157566353751087,6.419012756902174,210,0.0,0.0,0.0,0.0,0.95,0.0
ATL_11_9,Irene,DR,0,0,6.386995137571283,7.34250658259872,0,0,5.665734407018671,6.679808530664813,4,0,5.157566353751087,6.419012756902174,311,0.0,0.0,0.0,0.0,1.29,0.0
