Unnamed: 0,storm_code,storm_name
0,ATL_20_28,Zeta
1,ATL_20_28,Twenty-Eig
2,SHEM_20_4,Sarai
3,SHEM_16_7,Victor
4,ATL_17_8,Gert
5,WPAC_13_12,Trami
6,ATL_16_5,Earl
7,WPAC_15_6,Noul
8,WPAC_18_15,Jongdari
9,SHEM_19_6,Kenanga
10,ATL_10_13,Karl
11,WPAC_18_22,Soulik
12,ATL_14_7,Fay
13,SHEM_17_15,Ernie
14,IO_15_4,Chapala
15,SHEM_11_8,Wilma
16,IO_18_6,Titli
17,WPAC_17_27,Saola
18,EPAC_14_7,Genevieve
19,SHEM_18_9,Gita
20,WPAC_12_5,Guchol
21,WPAC_12_15,Tembin
22,EPAC_16_13,Lester
23,WPAC_19_9,Francisco
24,SHEM_14_8,Colin
25,EPAC_16_20,Seymour
26,SHEM_13_16,Haruna
27,EPAC_20_18,Marie
28,WPAC_16_26,Meari
29,SHEM_20_7,Claudia
30,ATL_10_7,Earl
31,CPAC_15_7,Oho
32,ATL_19_2,Barry
33,EPAC_12_16,Paul
34,WPAC_19_20,Hagibis
35,ATL_10_21,Tomas
36,WPAC_19_22,Bualoi
37,ATL_20_31,Iota
38,ATL_10_11,Igor
39,SHEM_17_18,Donna
40,EPAC_15_9,Guillermo
41,EPAC_20_12,Genevieve
42,WPAC_14_8,Neoguri
43,ATL_20_16,Nana
44,CPAC_14_2,Ana
45,SHEM_11_7,Zelia
46,SHEM_20_2,Belna
47,WPAC_19_19,Mitag
48,WPAC_19_29,Kammuri
49,SHEM_13_17,Rusty
50,SHEM_13_3,Claudia
51,SHEM_10_3,Cleo
52,ATL_10_14,Lisa
53,SHEM_10_1,Anja
54,WPAC_18_26,Mangkhut
55,EPAC_16_16,Orlene
56,SHEM_19_20,Trevor
57,WPAC_18_33,Usagi
58,SHEM_19_18,Idai
59,WPAC_14_3,Faxai
60,CPAC_15_4,Loke
61,WPAC_15_11,Nangka
62,ATL_10_12,Julia
63,WPAC_17_24,Khanun
64,WPAC_10_11,Meranti
65,SHEM_13_10,Garry
66,WPAC_12_17,Sanba
67,SHEM_18_7,Cebile
68,IO_11_6,Thane
69,SHEM_18_15,Marcus
70,SHEM_14_24,Jack
71,WPAC_18_31,Yutu
72,SHEM_20_15,Uesi
73,SHEM_16_15,Emeraude
74,WPAC_10_12,Fanapi
75,IO_16_5,Vardah
76,WPAC_16_6,Nida
77,WPAC_18_3,Jelawat
78,EPAC_19_11,Juliette
79,ATL_20_20,Teddy
80,ATL_20_20,Twenty
81,WPAC_15_24,Koppu
82,SHEM_13_22,Victoria
83,EPAC_16_7,Frank
84,WPAC_19_11,Krosa
85,EPAC_11_3,Calvin
