,storm_code,min_time,max_time
0,ATL_10_1,2010-06-20 18:00:00,2010-07-01 18:00:00
1,ATL_10_11,2010-09-07 00:00:00,2010-09-21 18:00:00
2,ATL_10_12,2010-09-12 06:00:00,2010-09-24 12:00:00
3,ATL_10_13,2010-09-09 12:00:00,2010-09-18 00:00:00
4,ATL_10_14,2010-09-20 00:00:00,2010-09-28 18:00:00
5,ATL_10_17,2010-10-03 18:00:00,2010-10-17 06:00:00
6,ATL_10_18,2010-10-08 18:00:00,2010-10-16 12:00:00
7,ATL_10_19,2010-10-16 06:00:00,2010-10-26 06:00:00
8,ATL_10_20,2010-10-26 18:00:00,2010-10-30 18:00:00
9,ATL_10_21,2010-10-26 18:00:00,2010-11-10 12:00:00
10,ATL_10_6,2010-08-20 18:00:00,2010-08-31 00:00:00
11,ATL_10_7,2010-08-22 12:00:00,2010-09-05 06:00:00
12,ATL_11_12,2011-08-27 00:00:00,2011-09-10 18:00:00
13,ATL_11_14,2011-09-05 00:00:00,2011-09-17 00:00:00
14,ATL_11_16,2011-09-19 18:00:00,2011-10-03 18:00:00
15,ATL_11_17,2011-09-22 06:00:00,2011-10-08 18:00:00
16,ATL_11_18,2011-10-20 12:00:00,2011-10-28 12:00:00
17,ATL_11_9,2011-08-17 12:00:00,2011-08-28 18:00:00
18,ATL_12_11,2012-08-23 06:00:00,2012-09-02 12:00:00
19,ATL_12_12,2012-08-28 12:00:00,2012-09-11 12:00:00
20,ATL_12_13,2012-09-01 00:00:00,2012-09-12 00:00:00
21,ATL_12_14,2012-09-07 12:00:00,2012-10-04 06:00:00
22,ATL_12_17,2012-10-07 12:00:00,2012-10-20 12:00:00
23,ATL_12_18,2012-10-19 12:00:00,2012-10-30 12:00:00
24,ATL_12_3,2012-06-17 00:00:00,2012-06-24 06:00:00
25,ATL_12_5,2012-07-29 12:00:00,2012-08-10 06:00:00
26,ATL_12_8,2012-08-08 18:00:00,2012-08-20 12:00:00
27,ATL_12_9,2012-08-16 06:00:00,2012-08-31 06:00:00
28,ATL_13_10,2013-09-09 12:00:00,2013-09-17 00:00:00
29,ATL_13_9,2013-09-06 18:00:00,2013-09-19 12:00:00
30,ATL_14_1,2014-06-27 12:00:00,2014-07-05 18:00:00
31,ATL_14_3,2014-07-27 06:00:00,2014-08-09 06:00:00
32,ATL_14_4,2014-08-18 18:00:00,2014-08-29 18:00:00
33,ATL_14_6,2014-09-06 06:00:00,2014-09-19 18:00:00
34,ATL_14_7,2014-10-08 06:00:00,2014-10-14 12:00:00
35,ATL_14_8,2014-10-10 00:00:00,2014-10-20 06:00:00
36,ATL_15_11,2015-09-25 06:00:00,2015-10-10 18:00:00
37,ATL_15_12,2015-11-07 00:00:00,2015-11-13 06:00:00
38,ATL_15_4,2015-08-15 00:00:00,2015-08-24 06:00:00
39,ATL_15_6,2015-08-28 06:00:00,2015-09-06 12:00:00
40,ATL_16_1,2016-01-07 00:00:00,2016-01-15 18:00:00
41,ATL_16_15,2016-10-04 06:00:00,2016-10-18 12:00:00
42,ATL_16_16,2016-11-14 12:00:00,2016-11-25 00:00:00
43,ATL_16_5,2016-07-27 18:00:00,2016-08-06 06:00:00
44,ATL_16_7,2016-08-20 06:00:00,2016-09-03 12:00:00
45,ATL_16_9,2016-08-17 18:00:00,2016-09-07 12:00:00
46,ATL_17_11,2017-08-27 18:00:00,2017-09-11 18:00:00
47,ATL_17_12,2017-09-03 18:00:00,2017-09-23 00:00:00
48,ATL_17_13,2017-09-04 00:00:00,2017-09-09 06:00:00
49,ATL_17_14,2017-09-14 00:00:00,2017-09-30 00:00:00
50,ATL_17_15,2017-09-14 00:00:00,2017-10-01 18:00:00
51,ATL_17_16,2017-10-02 18:00:00,2017-10-08 18:00:00
52,ATL_17_17,2017-10-06 06:00:00,2017-10-17 12:00:00
53,ATL_17_7,2017-08-02 12:00:00,2017-08-10 06:00:00
54,ATL_17_8,2017-08-02 06:00:00,2017-08-18 00:00:00
55,ATL_17_9,2017-08-13 12:00:00,2017-08-31 00:00:00
56,ATL_18_13,2018-09-22 00:00:00,2018-10-13 18:00:00
57,ATL_18_14,2018-10-04 18:00:00,2018-10-12 12:00:00
58,ATL_18_16,2018-10-23 00:00:00,2018-11-04 00:00:00
59,ATL_18_2,2018-07-02 00:00:00,2018-07-16 06:00:00
60,ATL_18_3,2018-07-04 12:00:00,2018-07-13 06:00:00
61,ATL_18_6,2018-08-29 06:00:00,2018-09-18 12:00:00
62,ATL_18_8,2018-09-06 00:00:00,2018-09-16 12:00:00
63,ATL_18_9,2018-09-02 18:00:00,2018-09-17 06:00:00
64,ATL_19_10,2019-09-14 18:00:00,2019-09-25 18:00:00
65,ATL_19_13,2019-09-21 06:00:00,2019-10-02 12:00:00
66,ATL_19_18,2019-10-24 12:00:00,2019-10-28 12:00:00
67,ATL_19_19,2019-10-27 06:00:00,2019-11-01 06:00:00
68,ATL_19_2,2019-07-07 12:00:00,2019-07-16 00:00:00
69,ATL_19_5,2019-08-22 12:00:00,2019-09-09 00:00:00
70,ATL_19_9,2019-09-09 18:00:00,2019-09-20 00:00:00
71,ATL_20_13,2020-08-16 18:00:00,2020-08-29 06:00:00
72,ATL_20_14,2020-08-15 00:00:00,2020-08-25 06:00:00
73,ATL_20_16,2020-08-30 12:00:00,2020-09-04 00:00:00
74,ATL_20_17,2020-09-03 12:00:00,2020-09-27 06:00:00
75,ATL_20_19,2020-09-10 06:00:00,2020-09-17 18:00:00
76,ATL_20_20,2020-09-10 06:00:00,2020-09-24 00:00:00
77,ATL_20_26,2020-10-02 12:00:00,2020-10-12 00:00:00
78,ATL_20_27,2020-10-16 00:00:00,2020-10-26 00:00:00
79,ATL_20_28,2020-10-20 00:00:00,2020-10-29 18:00:00
80,ATL_20_29,2020-10-29 00:00:00,2020-11-13 06:00:00
81,ATL_20_31,2020-11-12 12:00:00,2020-11-18 12:00:00
82,ATL_20_8,2020-07-22 00:00:00,2020-07-27 06:00:00
83,ATL_20_9,2020-07-23 18:00:00,2020-08-05 06:00:00
84,CPAC_13_1,2013-08-15 00:00:00,2013-08-26 00:00:00
85,CPAC_14_2,2014-10-10 12:00:00,2014-10-26 12:00:00
86,CPAC_15_1,2015-07-06 18:00:00,2015-07-26 12:00:00
87,CPAC_15_4,2015-08-19 06:00:00,2015-08-26 18:00:00
88,CPAC_15_7,2015-10-01 06:00:00,2015-10-08 12:00:00
89,CPAC_16_1,2016-01-05 06:00:00,2016-01-15 12:00:00
90,CPAC_18_1,2018-09-26 18:00:00,2018-10-06 12:00:00
91,EPAC_10_4,2010-06-17 18:00:00,2010-06-28 18:00:00
92,EPAC_10_9,2010-08-21 00:00:00,2010-08-28 18:00:00
93,EPAC_11_1,2011-06-03 18:00:00,2011-06-13 18:00:00
94,EPAC_11_10,2011-10-04 18:00:00,2011-10-12 18:00:00
95,EPAC_11_11,2011-10-04 00:00:00,2011-10-17 00:00:00
96,EPAC_11_13,2011-11-18 12:00:00,2011-11-26 06:00:00
97,EPAC_11_2,2011-06-15 18:00:00,2011-06-21 18:00:00
98,EPAC_11_3,2011-07-05 00:00:00,2011-07-12 12:00:00
99,EPAC_11_4,2011-07-15 12:00:00,2011-07-25 06:00:00
100,EPAC_11_5,2011-07-29 18:00:00,2011-08-07 18:00:00
101,EPAC_11_7,2011-08-14 18:00:00,2011-08-21 06:00:00
102,EPAC_11_9,2011-09-18 06:00:00,2011-10-02 06:00:00
103,EPAC_12_12,2012-09-13 00:00:00,2012-09-19 12:00:00
104,EPAC_12_16,2012-10-10 12:00:00,2012-10-17 18:00:00
105,EPAC_12_3,2012-06-11 18:00:00,2012-06-17 00:00:00
106,EPAC_12_4,2012-07-01 12:00:00,2012-07-11 18:00:00
107,EPAC_12_6,2012-07-09 06:00:00,2012-07-19 00:00:00
108,EPAC_12_7,2012-08-05 00:00:00,2012-08-13 12:00:00
109,EPAC_12_9,2012-08-25 00:00:00,2012-09-02 06:00:00
110,EPAC_13_13,2013-09-10 18:00:00,2013-09-19 18:00:00
111,EPAC_13_17,2013-10-17 06:00:00,2013-10-31 18:00:00
112,EPAC_13_2,2013-05-25 06:00:00,2013-05-30 12:00:00
113,EPAC_13_3,2013-06-20 12:00:00,2013-06-29 12:00:00
114,EPAC_13_4,2013-06-26 18:00:00,2013-07-08 06:00:00
115,EPAC_13_5,2013-07-01 18:00:00,2013-07-09 12:00:00
116,EPAC_13_7,2013-07-29 00:00:00,2013-08-08 06:00:00
117,EPAC_13_8,2013-07-29 18:00:00,2013-08-11 18:00:00
118,EPAC_14_11,2014-08-10 00:00:00,2014-08-27 18:00:00
119,EPAC_14_18,2014-09-20 12:00:00,2014-10-01 06:00:00
120,EPAC_14_7,2014-07-19 18:00:00,2014-08-07 00:00:00
121,EPAC_14_9,2014-07-29 18:00:00,2014-08-10 12:00:00
122,EPAC_15_1,2015-05-26 18:00:00,2015-06-04 18:00:00
123,EPAC_15_10,2015-08-02 00:00:00,2015-08-14 12:00:00
124,EPAC_15_12,2015-08-20 18:00:00,2015-09-05 00:00:00
125,EPAC_15_13,2015-08-23 18:00:00,2015-09-09 18:00:00
126,EPAC_15_15,2015-09-04 00:00:00,2015-09-10 18:00:00
127,EPAC_15_17,2015-09-24 12:00:00,2015-10-03 12:00:00
128,EPAC_15_19,2015-10-08 18:00:00,2015-10-27 18:00:00
129,EPAC_15_2,2015-05-30 00:00:00,2015-06-09 00:00:00
130,EPAC_15_20,2015-10-18 12:00:00,2015-10-24 12:00:00
131,EPAC_15_22,2015-11-23 12:00:00,2015-11-28 06:00:00
132,EPAC_15_3,2015-06-07 18:00:00,2015-06-17 12:00:00
133,EPAC_15_5,2015-07-09 06:00:00,2015-07-19 12:00:00
134,EPAC_15_9,2015-07-27 12:00:00,2015-08-08 00:00:00
135,EPAC_16_13,2016-08-21 18:00:00,2016-09-07 12:00:00
136,EPAC_16_14,2016-08-22 12:00:00,2016-09-03 12:00:00
137,EPAC_16_15,2016-08-31 18:00:00,2016-09-07 12:00:00
138,EPAC_16_16,2016-09-08 00:00:00,2016-09-17 00:00:00
139,EPAC_16_17,2016-09-13 18:00:00,2016-09-21 06:00:00
140,EPAC_16_19,2016-09-23 18:00:00,2016-10-01 12:00:00
141,EPAC_16_20,2016-10-22 06:00:00,2016-10-29 18:00:00
142,EPAC_16_22,2016-11-14 12:00:00,2016-11-26 12:00:00
143,EPAC_16_3,2016-07-01 12:00:00,2016-07-11 00:00:00
144,EPAC_16_4,2016-07-05 12:00:00,2016-07-15 00:00:00
145,EPAC_16_5,2016-07-09 12:00:00,2016-07-26 06:00:00
146,EPAC_16_7,2016-07-20 18:00:00,2016-07-28 18:00:00
147,EPAC_16_8,2016-07-20 18:00:00,2016-07-28 18:00:00
148,EPAC_17_16,2017-09-11 18:00:00,2017-09-15 00:00:00
149,EPAC_17_9,2017-07-19 18:00:00,2017-07-30 18:00:00
150,EPAC_18_10,2018-07-28 00:00:00,2018-08-16 18:00:00
151,EPAC_18_12,2018-08-03 06:00:00,2018-08-11 12:00:00
152,EPAC_18_14,2018-08-10 12:00:00,2018-08-29 06:00:00
153,EPAC_18_15,2018-08-24 06:00:00,2018-09-03 12:00:00
154,EPAC_18_16,2018-08-24 18:00:00,2018-09-10 00:00:00
155,EPAC_18_17,2018-08-27 12:00:00,2018-09-19 00:00:00
156,EPAC_18_2,2018-06-04 00:00:00,2018-06-13 06:00:00
157,EPAC_18_20,2018-09-23 00:00:00,2018-10-02 12:00:00
158,EPAC_18_21,2018-09-27 06:00:00,2018-10-12 18:00:00
159,EPAC_18_24,2018-10-16 12:00:00,2018-10-24 12:00:00
160,EPAC_18_3,2018-06-07 12:00:00,2018-06-15 18:00:00
161,EPAC_18_7,2018-06-27 00:00:00,2018-07-06 06:00:00
162,EPAC_19_1,2019-06-22 12:00:00,2019-06-29 12:00:00
163,EPAC_19_11,2019-08-30 06:00:00,2019-09-07 18:00:00
164,EPAC_19_13,2019-09-09 06:00:00,2019-09-25 12:00:00
165,EPAC_19_15,2019-09-15 06:00:00,2019-09-22 12:00:00
166,EPAC_19_2,2019-06-28 06:00:00,2019-07-08 12:00:00
167,EPAC_19_6,2019-07-25 18:00:00,2019-08-06 18:00:00
168,EPAC_19_7,2019-07-25 12:00:00,2019-08-07 00:00:00
169,EPAC_20_12,2020-08-14 06:00:00,2020-08-21 18:00:00
170,EPAC_20_18,2020-09-26 18:00:00,2020-10-09 18:00:00
171,EPAC_20_8,2020-07-20 00:00:00,2020-07-29 18:00:00
172,EPAC_20_9,2020-08-08 00:00:00,2020-08-13 12:00:00
173,IO_10_1,2010-05-15 00:00:00,2010-05-24 18:00:00
174,IO_10_3,2010-05-30 00:00:00,2010-06-07 00:00:00
175,IO_10_4,2010-10-19 18:00:00,2010-10-23 18:00:00
176,IO_10_5,2010-10-29 12:00:00,2010-11-10 00:00:00
177,IO_11_6,2011-12-24 12:00:00,2011-12-31 18:00:00
178,IO_12_6,2011-12-24 12:00:00,2011-12-31 18:00:00
179,IO_13_5,2013-11-20 18:00:00,2013-11-28 18:00:00
180,IO_13_6,2013-12-03 00:00:00,2013-12-10 12:00:00
181,IO_14_3,2014-10-04 18:00:00,2014-10-13 06:00:00
182,IO_14_4,2014-10-23 12:00:00,2014-11-01 06:00:00
183,IO_15_4,2015-10-25 00:00:00,2015-11-03 18:00:00
184,IO_15_5,2015-11-03 06:00:00,2015-11-10 06:00:00
185,IO_16_5,2016-12-04 12:00:00,2016-12-19 00:00:00
186,IO_17_3,2017-11-29 00:00:00,2017-12-05 18:00:00
187,IO_18_2,2018-05-20 18:00:00,2018-05-27 12:00:00
188,IO_18_5,2018-10-05 00:00:00,2018-10-14 18:00:00
189,IO_18_6,2018-10-06 18:00:00,2018-10-12 12:00:00
190,IO_18_7,2018-11-06 06:00:00,2018-11-22 00:00:00
191,IO_19_1,2019-04-25 18:00:00,2019-05-04 06:00:00
