storm_code,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop,std_dev,threshold_calc_type,category_group
ATL_10_1,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,40,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_11,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,33,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_12,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,61,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_13,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,63,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_14,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_17,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_18,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,166,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_19,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,58,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_20,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,39,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_21,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,256,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_6,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,78,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_10_7,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,116,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_11_12,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,171,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_11_14,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,200,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_11_16,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,105,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_11_17,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,330,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_11_18,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,140,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_11_9,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,76,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_11,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,133,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_12,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,171,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_13,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,118,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_14,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,120,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_17,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,97,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_18,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_3,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_5,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,186,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_8,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,35,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_12_9,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,154,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_13_10,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,91,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_13_9,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,34,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_14_1,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,66,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
ATL_14_3,0,0,8.040780854707302,7.69954485252663,0,0,7.298354478005386,7.5541271077018095,0,0,7.267269218368998,7.356446841397308,177,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
