Basin,Category Group,Threshold,Mean,Std Dev,Median,Min,Max,Burst Count,Timebin Count,Burst Percentage,Basin-Category Effective Threshold (Mean-Based) 2 SD,Basin-Category Effective Threshold (Median-Based) 2 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 2 SD,Basin-Category Effective Threshold Bursts (Median-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 2 SD,Basin-Category Effective Threshold (Mean-Based) 1.5 SD,Basin-Category Effective Threshold (Median-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Median-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 1.5 SD
WPAC,0-2,mad1,6.283196904370871,1.8391239616363833,6.120541589383125,0.6931471805599453,11.302806481353763,135,7307,1.85,7.6740151213643335,7.904735615008446,0,0.0,0,0.0,6.9756594330746475,7.20637992671876,18,0.25,9,0.12
WPAC,0-2,mad2,7.292880308453313,2.14561123560595,7.141924877968732,0.6931471805599453,12.955114758181951,68,7307,0.93,7.934190904952662,8.0063439331307,0,0.0,0,0.0,7.145612487649892,7.217765515827929,12,0.16,9,0.12
WPAC,0-2,iqr1,5.479200981733267,1.4635394473480334,5.416100402204421,0.6931471805599453,10.421218788453233,210,7307,2.87,5.986165081625561,5.920164752963432,163,2.23,176,2.41,5.456533223845596,5.390532895183466,342,4.68,376,5.15
WPAC,0-2,iqr2,6.522259462604802,1.7599161430459718,6.423551912475553,0.6931471805599453,12.506663100146582,61,7307,0.83,6.912842573787663,7.026157696141868,18,0.25,17,0.23,6.256323202438995,6.3696383247932005,111,1.52,88,1.2
WPAC,0-2,logn1,5.107832521112493,1.1638445318961124,5.009504321078399,1.0085089313107398,8.512224589788117,251,7307,3.44,6.690349612969863,6.5958449002817545,30,0.41,41,0.56,6.171198521503847,6.0766938088157385,125,1.71,143,1.96
WPAC,0-2,logn2,6.446267916957946,1.4683127852747972,6.300064272863194,1.1436639673467945,10.6594832925115,10,7307,0.14,6.406328887380251,6.379605863993685,79,1.08,87,1.19,6.156835004596223,6.130111981209656,128,1.75,134,1.83
WPAC,1-2,mad1,6.327345430758934,1.8411468120097736,6.041100745555974,0.6931471805599453,11.302806481353763,52,4020,1.29,7.585629355266333,7.855815553507016,0,0.0,0,0.0,6.859106689648574,7.129292887889258,11,0.27,4,0.1
WPAC,1-2,mad2,7.344785479661551,2.1492496360749143,6.983587806738466,0.6931471805599453,12.955114758181951,26,4020,0.65,8.438365882111587,9.224929877652817,0,0.0,0,0.0,7.520064591262246,8.306628586803477,0,0.0,0,0.0
WPAC,1-2,iqr1,5.495006296237488,1.4962746302214742,5.416100402204421,0.6931471805599453,10.421218788453233,81,4020,2.01,6.1856124511513375,6.259346736289851,72,1.79,65,1.62,5.567504399590613,5.641238684729125,151,3.76,135,3.36
WPAC,1-2,iqr2,6.538750099353549,1.8000448002573393,6.423551912475553,0.6931471805599453,12.506663100146582,23,4020,0.57,7.25827803029958,6.805029852898771,3,0.07,14,0.35,6.448294838798404,5.995046661397595,42,1.04,91,2.26
WPAC,1-2,logn1,5.10282514981892,1.187806447641352,4.987399614918457,1.0085089313107398,8.512224589788117,113,4020,2.81,6.757998122038341,6.613225025305935,16,0.4,24,0.6,6.212059132658236,6.0672860359258305,69,1.72,82,2.04
WPAC,1-2,logn2,6.435606919030011,1.4996763112701181,6.290301282871701,1.1436639673467945,10.6594832925115,5,4020,0.12,6.8877688649566515,7.16976386029264,10,0.25,4,0.1,6.544192297588868,6.826187292924857,30,0.75,13,0.32
WPAC,3-5,mad1,6.2948238262664615,1.4535432128729617,6.041100745555974,0.6931471805599453,11.302806481353763,16,4699,0.34,7.191292409086365,7.311585697382565,0,0.0,0,0.0,6.554212823213518,6.67450611150972,12,0.26,9,0.19
WPAC,3-5,mad2,7.269431733986231,1.6686564586252948,6.983587806738466,0.6931471805599453,12.955114758181951,10,4699,0.21,5.6796241958330675,5.231624793144175,57,1.21,117,2.49,5.077894178391722,4.62989477570283,153,3.26,303,6.45
WPAC,3-5,iqr1,5.379035824296536,1.1969128447910886,5.365248074690898,1.9356005054539454,10.421218788453233,44,4699,0.94,4.735573104311859,4.837699545833572,255,5.43,209,4.45,4.298908831193045,4.401035272714758,472,10.04,409,8.7
WPAC,3-5,iqr2,6.368475585303107,1.4247110516668917,6.35998650308365,2.2462138366774456,12.506663100146582,8,4699,0.17,4.415581981802697,4.519181429456757,403,8.58,349,7.43,4.101036188391743,4.204635636045803,611,13.0,542,11.53
WPAC,3-5,logn1,5.03011932483748,0.9565635456550383,4.979083251637682,2.141958722571553,8.512224589788117,61,4699,1.3,6.151639435617424,6.239102879149814,28,0.6,26,0.55,5.73506730061715,5.822530744149541,49,1.04,44,0.94
WPAC,3-5,logn2,6.305511626562943,1.1858822213021345,6.247248286413049,2.670544139465669,10.6594832925115,1,4699,0.02,,,0,0.0,0,0.0,,,0,0.0,0,0.0
