storm_code,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop,std_dev,threshold_calc_type,category_group
SHEM_10_1,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_12,0,0,7.794082726825847,6.92282999004763,1,1,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,38,0.0,0.0,2.63,2.63,0.0,0.0,2.0,mean,0-2
SHEM_10_14,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,57,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_15,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,53,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_16,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,90,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_19,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_20,0,0,7.794082726825847,6.92282999004763,1,3,5.637551562496583,5.361375703531255,0,1,6.627134166242881,5.823400193579584,62,0.0,0.0,1.61,4.84,0.0,1.61,2.0,mean,0-2
SHEM_10_21,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,33,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_22,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_23,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,36,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_3,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_6,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,69,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
SHEM_10_7,0,0,7.794082726825847,6.92282999004763,0,0,5.637551562496583,5.361375703531255,0,0,6.627134166242881,5.823400193579584,18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
