storm_code,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop,std_dev,threshold_calc_type,category_group
WPAC_10_11,0,0,7.6740151213643335,7.934190904952662,0,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
WPAC_10_12,0,0,7.6740151213643335,7.934190904952662,0,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,38,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
WPAC_10_13,0,0,7.6740151213643335,7.934190904952662,0,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
WPAC_10_15,0,0,7.6740151213643335,7.934190904952662,1,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,92,0.0,0.0,1.09,0.0,0.0,0.0,2.0,mean,0-2
WPAC_10_16,0,0,7.6740151213643335,7.934190904952662,0,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
WPAC_10_3,0,0,7.6740151213643335,7.934190904952662,2,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,195,0.0,0.0,1.03,0.0,0.0,0.0,2.0,mean,0-2
WPAC_10_4,0,0,7.6740151213643335,7.934190904952662,0,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,34,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
WPAC_11_10,0,0,7.6740151213643335,7.934190904952662,0,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,67,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
WPAC_11_11,0,0,7.6740151213643335,7.934190904952662,0,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,38,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
WPAC_11_12,0,0,7.6740151213643335,7.934190904952662,0,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
WPAC_11_14,0,0,7.6740151213643335,7.934190904952662,0,0,5.986165081625561,6.912842573787663,0,0,6.690349612969863,6.406328887380251,56,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
