storm_code,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop,std_dev,threshold_calc_type,category_group
EPAC_10_4,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,48,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_10_9,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,84,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_11_1,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,33,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_11_10,0,1,8.003308645241486,6.682197013887896,20,17,5.631461601580598,5.770031719933113,1,1,6.732012801514254,6.8099726874282345,124,0.0,0.81,16.13,13.71,0.81,0.81,2.0,mean,0-2
EPAC_11_11,0,2,8.003308645241486,6.682197013887896,11,10,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,48,0.0,4.17,22.92,20.83,0.0,0.0,2.0,mean,0-2
EPAC_11_13,0,0,8.003308645241486,6.682197013887896,9,8,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,54,0.0,0.0,16.67,14.81,0.0,0.0,2.0,mean,0-2
EPAC_11_2,0,0,8.003308645241486,6.682197013887896,1,1,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,47,0.0,0.0,2.13,2.13,0.0,0.0,2.0,mean,0-2
EPAC_11_3,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_11_4,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_11_5,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,46,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_11_7,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_11_9,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,37,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_12_12,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_12_16,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_12_3,0,0,8.003308645241486,6.682197013887896,4,3,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,41,0.0,0.0,9.76,7.32,0.0,0.0,2.0,mean,0-2
EPAC_12_4,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_12_6,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_12_7,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_12_9,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
EPAC_13_13,0,0,8.003308645241486,6.682197013887896,3,3,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,58,0.0,0.0,5.17,5.17,0.0,0.0,2.0,mean,0-2
EPAC_13_17,0,3,8.003308645241486,6.682197013887896,27,23,5.631461601580598,5.770031719933113,2,2,6.732012801514254,6.8099726874282345,207,0.0,1.45,13.04,11.11,0.97,0.97,2.0,mean,0-2
EPAC_13_2,0,0,8.003308645241486,6.682197013887896,0,0,5.631461601580598,5.770031719933113,0,0,6.732012801514254,6.8099726874282345,13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
