Basin,Category Group,Threshold,Mean,Std Dev,Median,Min,Max,Burst Count,Timebin Count,Burst Percentage,Basin-Category Effective Threshold (Mean-Based) 2 SD,Basin-Category Effective Threshold (Median-Based) 2 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 2 SD,Basin-Category Effective Threshold Bursts (Median-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 2 SD,Basin-Category Effective Threshold (Mean-Based) 1.5 SD,Basin-Category Effective Threshold (Median-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Median-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 1.5 SD,Mean (Effective),Median (Effective),Std Dev (Effective)
IO,0-2,mad1,5.240344764278087,1.6835322727059372,5.335101590604128,0.6931471805599453,8.030084094267563,41,1328,3.09,7.451705583183456,7.43201323537563,0,0.0,0,0.0,6.831133497098544,6.811441149290718,3,0.23,3,0.23,4.969417238843808,4.949724891035982,1.2411441721698242
IO,0-2,mad2,6.080660511376609,1.9868553374936349,6.182399450991332,0.6931471805599453,9.416378455387454,16,1328,1.2,7.7563150061479496,8.053752709909691,0,0.0,0,0.0,7.172863681547916,7.470301385309657,0,0.0,0,0.0,5.422509707747815,5.7199474115095565,1.1669026492000674
IO,0-2,iqr1,4.6096783398372025,1.249549412868635,4.51085950651685,0.6931471805599453,6.685028307553143,62,1328,4.67,5.388722011963844,5.340908199900418,29,2.18,33,2.48,4.978820455516862,4.931006643453436,64,4.82,67,5.05,3.7491157861759197,3.7013019741124937,0.8198031128939619
IO,0-2,iqr2,5.482274787630779,1.5081865193546762,5.465287588006076,0.6931471805599453,8.081632312274403,24,1328,1.81,6.304466670770471,6.462384677512289,7,0.53,6,0.45,5.784843113884377,5.942761120626195,21,1.58,15,1.13,4.2259724432260946,4.383890449967913,1.0392471137721881
IO,0-2,logn1,4.464874058935191,1.1014794546138573,5.002996120395472,1.4192037756455158,5.968312904835962,63,1328,4.74,6.5622070118492495,7.026992545923733,5,0.38,0,0.0,6.0562079054671845,6.520993439541668,9,0.68,6,0.45,4.5382105863209885,5.002996120395472,1.0119982127641305
IO,0-2,logn2,5.648239729886229,1.424865253236247,6.40376026412038,1.6688790431424356,7.641043937546959,2,1328,0.15,4.965640744009491,4.965640744009491,64,4.82,64,4.82,4.690801021734398,4.690801021734398,79,5.95,79,5.95,3.8662818549091194,3.8662818549091194,0.5496794445501857
IO,1-2,mad1,4.74499590919962,1.6381053911341699,4.763267353891182,0.6931471805599453,8.030084094267563,11,553,1.99,5.473405797722799,6.027501376990598,1,0.18,0,0.0,5.006251224315067,5.560346803582866,5,0.9,0,0.0,3.604787504091872,4.1588830833596715,0.9343091468154631
IO,1-2,mad2,5.495768054170863,1.9347343583153185,5.551724714255452,0.6931471805599453,9.416378455387454,3,553,0.54,3.952014144733411,3.952014144733411,27,4.88,27,4.88,3.7438011866799967,3.7438011866799967,36,6.51,36,6.51,3.1191623125197543,3.1191623125197543,0.41642591610682833
IO,1-2,iqr1,4.232509400400348,1.1601334624392485,4.068340412331825,1.5040773967762737,6.685028307553143,11,553,1.99,4.9165670411324935,5.249952111095238,10,1.81,2,0.36,4.470512989058616,4.8038980590213605,15,2.71,11,1.99,3.1323508328369813,3.465735902799726,0.8921081041477562
IO,1-2,iqr2,5.025937778440572,1.3977643964069022,4.810772443247754,1.706809950830356,8.081632312274403,2,553,0.36,2.8036186774873415,2.719031995085875,96,17.36,101,18.26,2.730364461705825,2.645777779304358,101,18.26,103,18.63,2.510601814361275,2.4260151319598084,0.1465084315630331
