Basin,Category Group,Threshold,Mean,Std Dev,Median,Min,Max,Burst Count,Timebin Count,Burst Percentage,Basin-Category Effective Threshold (Mean-Based) 2 SD,Basin-Category Effective Threshold (Median-Based) 2 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 2 SD,Basin-Category Effective Threshold Bursts (Median-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 2 SD,Basin-Category Effective Threshold (Mean-Based) 1.5 SD,Basin-Category Effective Threshold (Median-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Median-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 1.5 SD
SHEM,0-2,mad1,6.008510173562369,2.036056288365904,6.002758553726741,0.6931471805599453,10.259878476567128,154,6172,2.5,7.794082726825847,7.929364208225986,3,0.05,1,0.02,6.851462445609268,6.986743927009408,16,0.26,12,0.19
SHEM,0-2,mad2,6.9563035862966345,2.366982156919444,6.983587806738466,0.6931471805599453,11.83227511732088,89,6172,1.44,6.92282999004763,6.974509831314084,14,0.23,13,0.21,5.960686989521342,6.012366830787796,74,1.2,67,1.09
SHEM,0-2,iqr1,5.234798839074082,1.532244492669533,5.2574953720277815,0.6931471805599453,8.696231586751273,177,6172,2.87,5.637551562496583,5.58867045548231,149,2.41,156,2.53,5.005451647298895,4.956570540284623,374,6.06,400,6.48
SHEM,0-2,iqr2,6.222593048751025,1.8300180949142755,6.321376677076183,0.6931471805599453,10.320983339105037,58,6172,0.94,5.361375703531255,4.931503566288786,226,3.66,416,6.74,4.735003594949012,4.305131457706541,539,8.73,820,13.29
SHEM,0-2,logn1,4.903401770648443,1.2214177373607775,5.0117380122113,0.6931471805599453,7.7242781278081,209,6172,3.39,6.627134166242881,6.736128290857881,27,0.44,23,0.37,6.07586904262629,6.18486316724129,62,1.0,53,0.86
SHEM,0-2,logn2,6.175258896420102,1.510692589221338,6.326662381056332,0.6931471805599453,9.653251164738005,11,6172,0.18,5.823400193579584,5.802061284587497,96,1.56,103,1.67,5.409588569313717,5.38824966032163,217,3.52,221,3.58
SHEM,1-2,mad1,5.907728349511519,2.01601425822302,5.940025469499822,0.6931471805599453,10.259878476567128,58,2901,2.0,6.8989129215087255,6.227366878208933,0,0.0,7,0.24,6.0941099003446295,5.422563857044837,12,0.41,71,2.45
SHEM,1-2,mad2,6.832219846151222,2.3413825906280654,6.938554299610948,0.6931471805599453,11.83227511732088,31,2901,1.07,6.704247313953868,6.933530220407865,2,0.07,0,0.0,5.752349216154135,5.981632122608131,35,1.21,17,0.59
SHEM,1-2,iqr1,5.145983581608533,1.5519173731340288,5.2574953720277815,0.6931471805599453,8.696231586751273,61,2901,2.1,5.5809409639645144,5.304012171805049,49,1.69,81,2.79,4.965385391930587,4.688456599771121,134,4.62,209,7.2
SHEM,1-2,iqr2,6.11122538467028,1.8541895172231477,6.2972161428677005,0.6931471805599453,10.320983339105037,17,2901,0.59,5.657802694245213,5.153852565906205,46,1.59,100,3.45,4.975843335758613,4.4718932074196065,131,4.52,264,9.1
SHEM,1-2,logn1,4.800662177047666,1.2478244080145255,4.907601705256781,0.6931471805599453,7.7242781278081,63,2901,2.17,6.394082799086986,6.673787784245759,4,0.14,2,0.07,5.859758227904228,6.139463213063002,23,0.79,10,0.34
SHEM,1-2,logn2,6.035781696836765,1.543425263039986,6.213425089884821,0.6931471805599453,9.653251164738005,4,2901,0.14,4.910864413895293,4.910864413895293,146,5.03,146,5.03,4.6799694651563115,4.6799694651563115,214,7.38,214,7.38
SHEM,3-5,mad1,5.027210931305587,1.6759491618369942,4.852030263919616,0.6931471805599453,9.532847530447858,13,1561,0.83,6.590630644447561,5.597521188497629,0,0.0,4,0.26,5.871368527598346,4.878259071648413,1,0.06,27,1.73
SHEM,3-5,mad2,5.805059452006775,1.95663612900854,5.545177444479561,0.6931471805599453,10.868645727553217,3,1561,0.19,3.8859543459983628,3.7821915257928502,117,7.5,131,8.39,3.721890921852383,3.61812810164687,143,9.16,155,9.93
SHEM,3-5,iqr1,4.36791708569216,1.415470321524262,4.567814399444323,0.6931471805599453,8.220044226791531,26,1561,1.67,3.7321155414188585,3.903011928914867,143,9.16,115,7.37,3.478955498664183,3.6498518861601914,183,11.72,151,9.67
SHEM,3-5,iqr2,5.172655118482631,1.70629692125066,5.435114927138376,0.6931471805599453,9.72574913915536,10,1561,0.64,4.272267258706329,4.610154848796466,70,4.48,45,2.88,3.979648022064767,4.317535612154904,98,6.28,67,4.29
SHEM,3-5,logn1,4.185527297944111,1.1424752768865523,4.273302942379307,0.6931471805599453,7.370892609262636,31,1561,1.99,5.8559009011349445,6.008327087512086,1,0.06,0,0.0,5.32512655141303,5.477552737790171,11,0.7,5,0.32
SHEM,3-5,logn2,5.253052991224862,1.441041824568118,5.408033836434665,0.6931471805599453,9.180768844347538,1,1561,0.06,,,0,0.0,0,0.0,,,0,0.0,0,0.0
