,storm_code,storm_name,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop
0,EPAC_17_16,Max,0,0,7.164198890764908,7.8887876587602985,0,0,6.996853894035024,8.005201614297476,0,0,6.906256327312824,8.451879291517733,16,0.0,0.0,0.0,0.0,0.0,0.0
1,SHEM_11_15,Carlos,16,6,4.1588830833596715,4.852030263919617,16,6,4.102643365036796,4.955017411156009,6,0,4.980840836849141,6.496383953643822,97,16.49,6.19,16.49,6.19,6.19,0.0
2,EPAC_12_3,Carlotta,0,0,8.940374424836035,10.474742772758045,0,0,7.327123292259293,8.812330525044143,0,0,6.231870954479762,7.901579667547717,232,0.0,0.0,0.0,0.0,0.0,0.0
3,ATL_10_18,Paula,0,0,9.39903248928705,10.839394071677216,0,0,8.014430215073597,9.531560231578169,1,0,7.126655655276288,8.956439945696298,383,0.0,0.0,0.0,0.0,0.26,0.0
4,SHEM_16_15,Emeraude,18,10,2.7204727211007667,3.125937829208931,3,0,3.7013019741124937,4.45334067250063,5,0,3.3937218311961055,4.320259396462879,112,16.07,8.93,2.68,0.0,4.46,0.0
5,SHEM_17_5,Dineo,2,0,5.440945442201535,6.251875658417864,3,0,5.241060673153656,6.204752251162098,7,0,4.941327647754352,6.206731945035075,222,0.9,0.0,1.35,0.0,3.15,0.0
6,ATL_12_5,Ernesto,0,0,7.279569342828122,8.458224339169767,0,0,6.112575372857041,7.294145625791328,12,0,5.5070688852669,6.95199964189711,863,0.0,0.0,0.0,0.0,1.39,0.0
7,WPAC_10_11,Meranti,1,0,5.18095091077687,6.028248771164074,3,1,4.342375377129722,5.135336019716888,3,1,4.124368327993553,5.1730206967295755,114,0.88,0.0,2.63,0.88,2.63,0.88
8,WPAC_14_6,Tapah,8,5,2.7204727211007667,3.125937829208931,5,2,2.8903717578961645,3.439677902230219,5,1,3.1260748527047038,3.9508254321567016,77,10.39,6.49,6.49,2.6,6.49,1.3
9,WPAC_16_21,Chaba,0,0,5.27460083993072,6.190891571804875,4,0,4.584967478670572,5.557922553198229,8,0,4.141313292329459,5.274790662714725,173,0.0,0.0,2.31,0.0,4.62,0.0
10,SHEM_15_12,Lam,16,1,6.59167373200866,7.690286020676769,10,0,6.8679744089702925,8.238394420932892,17,0,6.568126222881075,8.457640645252727,322,4.97,0.31,3.11,0.0,5.28,0.0
11,WPAC_16_23,Songda,5,3,2.7204727211007667,3.125937829208931,3,1,2.8903717578961645,3.439677902230219,4,1,2.827695768172674,3.5704986383945245,91,5.49,3.3,3.3,1.1,4.4,1.1
12,EPAC_12_9,Ileana,0,0,7.72831507054468,8.952090502166795,0,0,6.56363553249043,7.857970825333064,0,0,5.8136196499415,7.3056137576575555,196,0.0,0.0,0.0,0.0,0.0,0.0
13,IO_13_6,Madi,8,6,2.7204727211007667,3.125937829208931,9,6,2.525728644308255,2.9838740102453327,5,1,3.2805506393095643,4.214379563350694,74,10.81,8.11,12.16,8.11,6.76,1.35
14,WPAC_10_12,Fanapi,0,0,6.4210627617186775,7.450682178899835,7,0,5.381642986102394,6.38048014234802,16,0,5.243223580898736,6.624086668149127,356,0.0,0.0,1.97,0.0,4.49,0.0
15,SHEM_14_18,Lusi,33,29,2.7204727211007667,3.125937829208931,18,8,4.276666119016055,5.1725458536300835,12,0,4.753543666917545,6.23095041292115,157,21.02,18.47,11.46,5.1,7.64,0.0
16,ATL_12_12,Leslie,0,0,6.002758553726741,6.983587806738466,22,0,4.990432586778736,5.963387661306394,35,0,4.736738868010033,6.008793114381575,891,0.0,0.0,2.47,0.0,3.93,0.0
17,WPAC_15_27,In-Fa,17,1,4.1588830833596715,4.852030263919617,24,3,3.9120230054281464,4.716741961645196,26,1,3.826514068720362,4.911015079063499,389,4.37,0.26,6.17,0.77,6.68,0.26
18,ATL_15_11,Joaquin,0,0,8.439638486096394,9.800615039231994,0,0,6.91592184164853,8.242542823952139,7,0,5.982828922571522,7.494057910413105,675,0.0,0.0,0.0,0.0,1.04,0.0
19,WPAC_12_26,Bopha,0,0,6.186208623900493,7.284820912568602,6,0,5.395897694886901,6.571585323468639,34,0,4.69926671605713,5.997275477487932,891,0.0,0.0,0.67,0.0,3.82,0.0
20,WPAC_13_17,Usagi,0,0,6.340359303727753,7.438971592395863,3,0,5.17237614319019,6.19081710682071,7,0,4.628470509325844,5.863557346126378,309,0.0,0.0,0.97,0.0,2.27,0.0
21,WPAC_17_14,Banyan,0,0,5.18095091077687,6.028248771164074,3,1,4.31748811353631,5.122207069753361,7,0,4.149041614491632,5.229115249635441,182,0.0,0.0,1.65,0.55,3.85,0.0
22,EPAC_16_15,Newton,0,0,7.279569342828122,8.458224339169767,9,0,6.182084906716632,7.381032543115817,7,0,6.564620279976374,8.40615901668286,73,0.0,0.0,12.33,0.0,9.59,0.0
23,SHEM_13_17,Rusty,0,0,8.620889275801519,10.067808258737845,4,0,7.074619248364051,8.496700470175092,9,0,6.590373893258818,8.400178602513048,270,0.0,0.0,1.48,0.0,3.33,0.0
24,ATL_17_15,Maria,1,0,6.186208623900493,7.284820912568602,43,0,5.339139361068291,6.399271129168337,54,0,5.283361536747277,6.780531360655074,1045,0.1,0.0,4.11,0.0,5.17,0.0
25,ATL_11_12,Katia,6,0,5.335101590604128,6.182399450991332,19,3,4.68213122712422,5.578010961738247,31,3,4.456840317225616,5.623490721051807,767,0.78,0.0,2.48,0.39,4.04,0.39
26,SHEM_15_10,Ola,25,25,0.6931471805599453,0.6931471805599453,7,4,1.7917594692280545,2.0664125413950822,3,1,2.167091614838703,2.7171469028706907,55,45.45,45.45,12.73,7.27,5.45,1.82
27,WPAC_12_11,Damrey,0,0,5.111312861849701,5.986781599203601,6,0,3.871201010907891,4.564348191467836,6,0,3.92695536446674,4.9766847685469005,118,0.0,0.0,5.08,0.0,5.08,0.0
28,ATL_10_13,Karl,0,0,6.444298919512291,7.455899831190771,0,0,5.493061443340549,6.591673732008658,4,0,5.022328085526939,6.325223651229548,175,0.0,0.0,0.0,0.0,2.29,0.0
29,SHEM_12_4,Benilde,0,0,5.27460083993072,6.190891571804875,0,0,4.619463914414048,5.601043097877573,2,0,3.921293925309234,4.998320532713996,80,0.0,0.0,0.0,0.0,2.5,0.0
30,ATL_17_12,Jose,9,6,5.27460083993072,6.190891571804875,24,9,4.584967478670572,5.557922553198229,48,9,4.184937687789686,5.343841853777484,1180,0.76,0.51,2.03,0.76,4.07,0.76
31,ATL_11_17,Philippe,1,0,5.27460083993072,6.190891571804875,9,1,4.446565155811452,5.2835533725972885,13,0,4.275565693328383,5.43737673397352,399,0.25,0.0,2.26,0.25,3.26,0.0
32,WPAC_17_25,Lan,59,59,0.6931471805599453,0.6931471805599453,10,7,2.0794415416798357,2.4260151319598084,9,4,2.3324821984407498,2.955472275960644,141,41.84,41.84,7.09,4.96,6.38,2.84
33,SHEM_10_21,Imani,0,0,2.7204727211007667,3.125937829208931,0,0,2.525728644308255,2.9838740102453327,0,0,2.175649567962518,2.6509458733772724,30,0.0,0.0,0.0,0.0,0.0,0.0
34,SHEM_13_19,Sandra,4,2,2.7204727211007667,3.125937829208931,4,0,2.8903717578961645,3.439677902230219,4,0,2.7084051837516387,3.4083850544543344,94,4.26,2.13,4.26,0.0,4.26,0.0
35,SHEM_12_9,Iggy,21,12,2.7204727211007667,3.125937829208931,6,2,3.465735902799726,4.158883083359671,8,2,3.2844961097762244,4.198778611615166,173,12.14,6.94,3.47,1.16,4.62,1.16
36,EPAC_16_5,Darby,7,5,2.7204727211007667,3.125937829208931,5,1,3.3322045101752034,3.991968842579018,2,0,3.7245345360099167,4.797028344249499,39,17.95,12.82,12.82,2.56,5.13,0.0
37,WPAC_15_9,Chan-Hom,0,0,5.111312861849701,5.986781599203601,9,2,4.0312864262549635,4.764454960651678,12,2,3.7486421149336486,4.722813177115353,507,0.0,0.0,1.78,0.39,2.37,0.39
38,ATL_13_10,Ingrid,5,0,6.186208623900493,7.284820912568602,8,3,5.547612909596861,6.659863064829048,8,0,5.687607034754992,7.360956451541991,142,3.52,0.0,5.63,2.11,5.63,0.0
39,EPAC_15_1,Andres,0,0,5.27460083993072,6.190891571804875,4,0,4.446565155811452,5.2835533725972885,5,0,4.243790240564727,5.39270874570979,169,0.0,0.0,2.37,0.0,2.96,0.0
40,ATL_16_5,Earl,0,0,7.821163935263485,8.971735962862306,0,0,6.608718271167344,7.803323554162963,5,0,6.087466516125745,7.573849035378214,406,0.0,0.0,0.0,0.0,1.23,0.0
41,EPAC_16_3,Blas,1,0,5.335101590604128,6.182399450991332,1,0,5.17237614319019,6.19081710682071,7,0,4.525512897530767,5.699358170255463,316,0.32,0.0,0.32,0.0,2.22,0.0
42,WPAC_15_4,Maysak,24,9,2.7204727211007667,3.125937829208931,7,3,3.1986731175506815,3.8250546017983655,13,3,2.9711122776501053,3.746285766108824,281,8.54,3.2,2.49,1.07,4.63,1.07
43,WPAC_14_19,Vongfong,11,1,4.564348191467836,5.2574953720277815,32,2,4.0312864262549635,4.764454960651678,26,1,4.113523295935951,5.207268913938655,540,2.04,0.19,5.93,0.37,4.81,0.19
44,WPAC_14_20,Nuri,13,6,2.7204727211007667,3.125937829208931,22,8,2.525728644308255,2.9838740102453327,11,4,2.8757219753212078,3.6431775154895867,219,5.94,2.74,10.05,3.65,5.02,1.83
45,ATL_17_16,Nate,0,0,6.877509587937238,8.047580840587493,0,0,6.469766979168412,7.812555651793488,7,0,5.448110835973326,6.90803589761947,209,0.0,0.0,0.0,0.0,3.35,0.0
46,ATL_10_17,Otto,13,12,2.7204727211007667,3.125937829208931,17,13,2.525728644308255,2.9838740102453327,13,3,3.0536268576258583,3.8928904961968307,174,7.47,6.9,9.77,7.47,7.47,1.72
47,WPAC_14_8,Neoguri,0,0,7.118476310297791,8.322449114623726,5,1,5.8888779583328805,7.014523857636128,13,2,5.396964852639194,6.829391417261552,489,0.0,0.0,1.02,0.2,2.66,0.41
48,EPAC_13_7,Gil,0,0,6.956962023036786,8.209724991532154,0,0,7.032918421936143,8.516494955253151,1,0,5.954103329728186,7.677193954965091,87,0.0,0.0,0.0,0.0,1.15,0.0
49,SHEM_11_8,Wilma,1,0,4.1588830833596715,4.852030263919617,12,1,3.465735902799726,4.158883083359671,9,0,3.783942990000998,4.861679951122532,128,0.78,0.0,9.38,0.78,7.03,0.0
50,WPAC_11_20,Nesat,0,0,4.1588830833596715,4.852030263919617,9,1,3.1986731175506815,3.8250546017983655,13,1,3.036062790184036,3.8071919417274844,271,0.0,0.0,3.32,0.37,4.8,0.37
51,WPAC_12_15,Tembin,4,0,5.940025469499822,6.938554299610948,18,1,5.417580787374854,6.4973229120515406,26,0,5.143077272732677,6.567795683510381,627,0.64,0.0,2.87,0.16,4.15,0.0
52,WPAC_11_10,Nock-Ten,0,0,6.002758553726741,6.983587806738466,1,0,5.339139361068291,6.399271129168337,6,0,4.665070600859249,5.896084745760085,337,0.0,0.0,0.3,0.0,1.78,0.0
53,EPAC_11_7,Greg,0,0,7.356751759808603,8.608379654036701,0,0,6.265611949048214,7.485441346030295,0,0,5.187270071596614,6.531814309300742,68,0.0,0.0,0.0,0.0,0.0,0.0
54,WPAC_10_15,Megi,0,0,6.59167373200866,7.690286020676769,2,0,5.565796731682298,6.682592842435845,23,0,4.9024619737984425,6.179451643830596,740,0.0,0.0,0.27,0.0,3.11,0.0
55,WPAC_12_12,Haikui,5,1,4.1588830833596715,4.852030263919617,5,1,3.7985445339556727,4.498869164534324,7,1,3.6003708666398406,4.5392973136173635,212,2.36,0.47,2.36,0.47,3.3,0.47
56,EPAC_12_12,Lane,1,1,1.0986122886681096,1.0986122886681096,1,1,1.3013448427221916,1.4027111197492328,1,0,2.525892666619948,3.18742465382938,7,14.29,14.29,14.29,14.29,14.29,0.0
57,SHEM_16_11,Winston,1,0,6.186208623900493,7.284820912568602,22,2,4.790265669664771,5.713179014913936,23,1,4.743775706588236,6.06400719424653,602,0.17,0.0,3.65,0.33,3.82,0.17
58,ATL_14_1,Arthur,0,0,9.838949031398558,11.448386943832658,0,0,8.273846932784508,9.93994918787211,3,0,7.004756879310804,8.825848664109671,435,0.0,0.0,0.0,0.0,0.69,0.0
59,ATL_14_3,Bertha,0,0,6.186208623900493,7.284820912568602,9,1,4.892852258439872,5.841412250882813,18,1,4.6177539881870775,5.881923500913299,488,0.0,0.0,1.84,0.2,3.69,0.2
60,WPAC_16_12,Lionrock,0,0,6.002758553726741,6.983587806738466,4,0,4.990432586778736,5.963387661306394,16,0,4.443577720702976,5.5685163392580925,585,0.0,0.0,0.68,0.0,2.74,0.0
61,SHEM_12_12,Giovanna,0,0,5.723756584418719,6.66821819325957,7,0,4.990432586778736,5.963387661306394,21,0,4.603115528147376,5.830024819204626,614,0.0,0.0,1.14,0.0,3.42,0.0
62,SHEM_15_17,Pam,0,0,7.118476310297791,8.322449114623726,5,0,5.703782474656201,6.855075021153224,13,0,5.060846845178695,6.414366270818807,465,0.0,0.0,1.08,0.0,2.8,0.0
63,ATL_10_14,Lisa,0,0,4.884519022161982,5.657708910395463,0,0,4.189654742026425,5.063781632393045,1,0,3.634455546016266,4.571369302490826,51,0.0,0.0,0.0,0.0,1.96,0.0
64,EPAC_11_4,Dora,0,0,7.595027209319415,8.894310193449677,4,0,6.352629396319568,7.666133673232432,8,0,5.662681869074348,7.19921913005097,267,0.0,0.0,1.5,0.0,3.0,0.0
65,ATL_12_18,Sandy,0,0,6.002758553726741,6.983587806738466,0,0,5.565796731682298,6.682592842435845,4,0,4.852685935685267,6.147025120101092,226,0.0,0.0,0.0,0.0,1.77,0.0
66,SHEM_13_16,Haruna,0,0,4.763267353891182,5.551724714255452,15,1,3.784189633918261,4.455583970230799,13,0,3.89974777742675,4.933865770824236,227,0.0,0.0,6.61,0.44,5.73,0.0
67,ATL_10_21,Tomas,0,0,7.595027209319415,8.894310193449677,18,0,6.643789733147672,8.030084094267561,40,0,6.12677679401601,7.832862885203856,878,0.0,0.0,2.05,0.0,4.56,0.0
68,WPAC_16_24,Sarika,14,1,4.564348191467836,5.2574953720277815,17,1,4.507189777627888,5.3593341498678315,20,1,4.395016320694156,5.560344618920247,383,3.66,0.26,4.44,0.26,5.22,0.26
69,IO_10_4,Giri,0,0,5.18095091077687,6.028248771164074,1,0,4.446565155811452,5.2835533725972885,5,0,4.117165418886557,5.174220044101221,175,0.0,0.0,0.57,0.0,2.86,0.0
70,SHEM_17_17,Frances,2,0,5.27460083993072,6.190891571804875,5,3,4.276666119016055,5.1725458536300835,5,2,4.254343868244199,5.463578294856078,125,1.6,0.0,4.0,2.4,4.0,1.6
71,WPAC_15_10,Linfa,0,0,6.2972161428677005,7.336936913707618,4,0,5.769362120302183,6.937049578210702,12,0,5.244125644900025,6.676458703576388,360,0.0,0.0,1.11,0.0,3.33,0.0
72,SHEM_14_21,Hellen,8,5,2.7204727211007667,3.125937829208931,7,3,2.8903717578961645,3.439677902230219,7,1,2.9465640260109502,3.7385189360334516,104,7.69,4.81,6.73,2.88,6.73,0.96
73,WPAC_10_4,Chanthu,0,0,8.430297632635245,9.896634701428672,1,0,6.768493211648629,8.114042924280813,3,0,5.901362509658503,7.483122678663706,183,0.0,0.0,0.55,0.0,1.64,0.0
74,IO_17_3,Ockhi,1,0,6.59167373200866,7.690286020676769,12,0,5.848875587709639,6.964520894357076,13,0,5.665261398951241,7.206251625254982,308,0.32,0.0,3.9,0.0,4.22,0.0
75,WPAC_12_22,Prapiroon,1,0,4.1588830833596715,4.852030263919617,1,0,4.102643365036796,4.955017411156009,9,1,3.477416711958052,4.377839686879505,354,0.28,0.0,0.28,0.0,2.54,0.28
76,SHEM_10_8,Magda,3,0,6.002758553726741,6.983587806738466,11,3,4.917247340524588,5.871906103488708,10,0,5.164219052262504,6.576893406329674,188,1.6,0.0,5.85,1.6,5.32,0.0
77,EPAC_16_4,Celia,0,0,5.27460083993072,6.190891571804875,0,0,3.9120230054281464,4.716741961645196,0,0,3.5915700035922855,4.548298763901051,29,0.0,0.0,0.0,0.0,0.0,0.0
78,WPAC_14_11,Halong,27,1,6.002758553726741,6.983587806738466,32,6,5.635979371304838,6.770321141964021,33,1,5.533946587239373,7.101846625753914,719,3.76,0.14,4.45,0.83,4.59,0.14
79,EPAC_11_1,Adrian,0,0,6.877509587937238,8.047580840587493,5,0,5.769362120302183,6.937049578210702,8,0,5.482548373267644,7.007524646729471,165,0.0,0.0,3.03,0.0,4.85,0.0
80,WPAC_11_14,Nanmadol,0,0,7.776320876735629,9.012097759905483,0,0,6.545636975377339,7.7796867411131485,8,0,5.829050984196414,7.323085718597275,582,0.0,0.0,0.0,0.0,1.37,0.0
81,ATL_17_14,Lee,28,14,4.1588830833596715,4.852030263919617,25,10,4.276666119016055,5.1725458536300835,19,3,4.479975681362385,5.7919521180540965,326,8.59,4.29,7.67,3.07,5.83,0.92
82,WPAC_15_2,Higos,0,0,2.7204727211007667,3.125937829208931,0,0,2.0794415416798357,2.4260151319598084,0,0,1.9903427031801906,2.441864555966315,27,0.0,0.0,0.0,0.0,0.0,0.0
83,EPAC_16_20,Seymour,0,0,6.002758553726741,6.983587806738466,1,0,5.493061443340549,6.591673732008658,8,0,4.9877796239463255,6.299604718055313,235,0.0,0.0,0.43,0.0,3.4,0.0
84,SHEM_14_23,Ita,0,0,6.186208623900493,7.284820912568602,4,0,5.565796731682298,6.682592842435845,14,0,5.041533363677125,6.439134858485151,543,0.0,0.0,0.74,0.0,2.58,0.0
85,EPAC_16_19,Ulika,0,0,0.6931471805599453,0.6931471805599453,0,0,0.6931471805599453,0.6931471805599453,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0
86,ATL_12_8,Gordon,18,9,2.7204727211007667,3.125937829208931,13,1,2.8903717578961645,3.439677902230219,9,0,3.119899393263659,3.9570509869216552,133,13.53,6.77,9.77,0.75,6.77,0.0
87,EPAC_13_5,Erick,0,0,8.788049741736929,10.325937232350693,0,0,7.958287720644455,9.601286060525595,6,0,6.956350821612992,8.899744653377464,202,0.0,0.0,0.0,0.0,2.97,0.0
88,SHEM_17_13,Debbie,19,13,4.1588830833596715,4.852030263919617,19,11,4.276666119016055,5.1725458536300835,12,0,5.1057678603232866,6.650634961072159,157,12.1,8.28,12.1,7.01,7.64,0.0
89,EPAC_13_17,Raymond,0,0,5.940025469499822,6.938554299610948,18,0,4.892852258439872,5.841412250882813,26,0,4.70654610638624,5.996142409167094,536,0.0,0.0,3.36,0.0,4.85,0.0
90,ATL_10_19,Richard,0,0,6.72947513315174,7.689250976965634,3,0,5.776619798608467,6.77283488095357,7,0,5.516483385467888,6.848637896331142,369,0.0,0.0,0.81,0.0,1.9,0.0
91,SHEM_17_16,Cook,4,0,5.335101590604128,6.182399450991332,9,1,4.653552020204245,5.542286953088279,9,0,4.552296844616166,5.782009509896854,178,2.25,0.0,5.06,0.56,5.06,0.0
92,WPAC_17_24,Khanun,4,1,3.9605845720425776,4.548371236944697,9,3,3.453877639491069,4.042693977196809,7,1,3.6759622234044187,4.630970130228915,138,2.9,0.72,6.52,2.17,5.07,0.72
93,SHEM_14_7,Ian,16,13,2.7204727211007667,3.125937829208931,5,1,3.7013019741124937,4.45334067250063,7,1,3.6850761172323576,4.745718816627896,108,14.81,12.04,4.63,0.93,6.48,0.93
